combine	dd	mar
016002_000055	17.301731709375886	17.68163509069795
016002_000834	20.514556082095584	14.62531259880997
016002_003722	17.073682189039342	14.78173284806311
016002_006479	15.13464851166317	11.031265020297164
016002_006480	14.925056707474313	14.587887445389253
016002_008971	9.30827302040921	6.941484102045749
016002_012870	9.912949303435761	9.865042460967741
016002_012871	9.412264708816496	10.568042643240137
016002_014978	10.305322348500146	8.243415376164991
016002_015299	10.270071287892634	8.330610208969654
016002_015300	10.203750068024116	8.34379441429168
016002_015518	9.657781466653114	9.588596401752579
016002_016055	10.508027825511332	6.990029224988451
016002_016056	10.214142047955939	8.0323869255948
016002_016057	10.438707153487957	7.012002900525157
016002_016058	10.146632433847062	8.062061031653831
016002_016532	10.617007920471158	6.941484102045749
016002_016533	10.555352515065751	6.941484102045749
016002_016534	10.447854345621133	6.941484102045749
016002_016535	10.388136330439043	6.941484102045749
016002_017091	12.073408577885328	6.941484102045749
016002_017092	11.940352388620393	6.941484102045749
016002_017093	11.971760477081823	6.941484102045749
016002_017894	8.711355984751654	6.941484102045749
016002_017895	8.683027825511331	6.941484102045749
016002_017951	8.598376620252019	6.941484102045749
016002_017952	8.598376620252019	6.941484102045749
016002_018966	9.132612376278315	6.941484102045749
016002_018967	9.086954049032151	6.941484102045749
016002_018968	9.204599227994898	6.941484102045749
016002_018969	9.204599227994898	6.941484102045749
016002_019118	10.37307586608391	6.941484102045749
016002_019524	9.100951492421485	6.941484102045749
016002_019525	9.068290791179704	6.941484102045749
016002_019547	8.894989111121268	6.941484102045749
016002_019548	8.857662595416373	6.941484102045749
016002_021773	8.09346545683742	6.941484102045749
016002_021838	8.264087214090294	6.941484102045749
016002_022664	7.93342907290505	6.941484102045749
016002_024237	8.029596044719925	6.941484102045749
016002_040046	23.297590910389808	17.07493305118306
016002_040047	20.790515349288608	20.51625442481621
016002_040048	20.790515349288608	20.51625442481621
016002_159501	9.733502624634779	6.941484102045749
016002_159509	10.482699118425868	6.941484102045749
016002_159513	9.133278921201617	6.941484102045749
016002_159632	10.913620411340405	6.941484102045749
016002_159659	10.55835196722061	6.941484102045749
016002_159660	10.651334984021194	6.941484102045749
016002_159696	9.679845758308996	6.941484102045749
016002_159941	7.976459664046661	41.02028758921011
016002_161130	17.451094152096346	11.324003796427007
016002_270042	21.628967770947806	17.183711221658378
016002_513100	7.9930995915198	53.19497406247857
016002_513110	11.008936335372546	6.941484102045749
016002_513290	9.019299739317026	6.941484102045749
016002_513300	11.586164238951802	8.182841043001309
016002_513390	10.829969023466045	6.941484102045749
016002_513870	9.811488380661078	6.941484102045749
019567_000055	18.11384442884139	17.75712243526863
019567_000834	21.47177871611317	14.62531259880997
019567_003722	17.97660387440744	14.864491956978398
019567_006479	15.92755940946882	11.031265020297164
019567_006480	15.706076445412817	14.675729644263594
019567_008971	9.770625370467148	6.941484102045749
019567_012870	10.409607872561583	9.877836853285745
019567_012871	9.88051701186396	10.676503387268795
019567_014978	10.824242144034486	8.256209768482993
019567_015299	10.786991119741403	8.343404601287657
019567_015300	10.716907175318402	8.35658880660968
019567_015518	10.139963126474793	9.697057145781235
019567_016055	11.038448086163635	7.082115625480674
